timeStamp,ECGValue,ClassType
0:29:44.815,497,BaseLine
0:29:44.819,498,BaseLine
0:29:44.823,498,BaseLine
0:29:44.827,498,BaseLine
0:29:44.831,498,BaseLine
0:29:44.835,498,BaseLine
0:29:44.839,498,BaseLine
0:29:44.843,498,BaseLine
0:29:44.847,499,BaseLine
0:29:44.851,499,BaseLine
0:29:44.855,500,BaseLine
0:29:44.859,500,BaseLine
0:29:44.863,500,BaseLine
0:29:44.867,501,BaseLine
0:29:44.871,501,BaseLine
0:29:44.875,502,BaseLine
0:29:44.879,503,BaseLine
0:29:44.883,504,BaseLine
0:29:44.887,505,BaseLine
0:29:44.891,506,BaseLine
0:29:44.895,508,BaseLine
0:29:44.899,509,BaseLine
0:29:44.903,510,BaseLine
0:29:44.907,511,BaseLine
0:29:44.911,512,BaseLine
0:29:44.915,513,BaseLine
0:29:44.919,514,BaseLine
0:29:44.923,514,BaseLine
0:29:44.927,514,BaseLine
0:29:44.931,514,BaseLine
0:29:44.935,514,BaseLine
0:29:44.939,514,BaseLine
0:29:44.943,513,BaseLine
0:29:44.947,513,BaseLine
0:29:44.951,512,BaseLine
0:29:44.955,511,BaseLine
0:29:44.959,509,BaseLine
0:29:44.963,508,BaseLine
0:29:44.967,507,BaseLine
0:29:44.971,505,BaseLine
0:29:44.975,504,BaseLine
0:29:44.979,502,BaseLine
0:29:44.983,501,BaseLine
0:29:44.987,500,BaseLine
0:29:44.991,498,BaseLine
0:29:44.995,497,BaseLine
0:29:44.999,496,BaseLine
0:29:45.003,496,BaseLine
0:29:45.007,495,BaseLine
0:29:45.011,495,BaseLine
0:29:45.015,494,BaseLine
0:29:45.019,494,BaseLine
0:29:45.023,494,BaseLine
0:29:45.027,494,BaseLine
0:29:45.031,493,BaseLine
0:29:45.035,493,BaseLine
0:29:45.039,493,BaseLine
0:29:45.043,493,BaseLine
0:29:45.047,493,BaseLine
0:29:45.051,493,BaseLine
0:29:45.055,493,BaseLine
0:29:45.059,493,BaseLine
0:29:45.063,493,BaseLine
