@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
164025 ,BaseLine
164025 ,BaseLine
164025 ,BaseLine
164025 ,BaseLine
164025 ,BaseLine
164025 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
48400 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
156025 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
