@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
32 ,BaseLine
32 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
120 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
136 ,BaseLine
30 ,BaseLine
30 ,BaseLine
30 ,BaseLine
30 ,BaseLine
30 ,BaseLine
30 ,BaseLine
30 ,BaseLine
30 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
296 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
172 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
